"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","阿斯托茨卡"
"AccessPermitInner","Access Permit","进境许可证"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","此文件给予持有人有限制入境阿斯托茨卡的许可"
"AccessPermitInner","NAME","姓名"
"AccessPermitInner","NATIONALITY","国籍"
"AccessPermitInner","PURPOSE","入境目的"
"AccessPermitInner","HEIGHT","身高"
"AccessPermitInner","PHYSICAL APPEARANCE","外貌特征"
"AccessPermitInner","ID NUMBER","身份证号"
"AccessPermitInner","DURATION","入境期限"
"AccessPermitInner","WEIGHT","体重"
"AccessPermitInner","ENTER BY","入境日"
"AccessPermitInner","Keep on person","请务必随身携带"
"AccessPermitInner","Ministry of Admission","出入境管理局"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","庇护授予书"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","此文件授予持有人在阿斯托茨卡境内有限制的庇护权"
"AsylumGrantInner","NAT","国籍"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","生日"
"AsylumGrantInner","HT","身高"
"AsylumGrantInner","WT","体重"
"AsylumGrantInner","Offer expires after","有效期至"
"AsylumGrantInner","Ministry of Admission","出入境管理局"
"BizCardInnerFront","ENGINEERING","工程公司"
"BizCardInnerFront","Director","总监"
"BizCardInnerBack","WE NEED ENGINEERS","诚聘工程师"
"BizCardInnerBack","WILL BEAT .GOV PAY","薪水超过公务员"
"BizCardInnerBack","CONTACT NOW","现在就打电话申请吧"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","一个名叫 <span>Dari Ludum</span> 的人承诺在阿斯托茨卡给我和我姐姐一份好工作。"
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","不并不相信他。我怕他会扣了我的护照并强迫我在妓院工作。他今天也排在队伍里。"
"BrothelHelpInner","Please do something.","请想办法帮帮我们。"
"BulletinInnerDiploTut","Diplomat","外交官"
"BulletinInnerDiploTut","Verification Procedure","核实流程"
"BulletinInnerDiploTut","Verify issuing country","核实签发国"
"BulletinInnerDiploTut","Verify identity","核实身份"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","核实外交入境许可信息"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","将柜台与规则手册中相应条目相关联可指出缺失的文件。"
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","将规则手册中相应条目与违规行为相关联可激活进一步选项。"
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","将发现的武器和违禁品与规则手册中的相应条目相关联。"
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","在审查模式下选取两条不一致的信息来激活审讯选项。"
"BulletinInnerPassportTut","Pay attention to passport nationality.","注意护照上的国籍"
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","阿斯托茨卡<br>出入境管理局"
